1	1375	110	240	45	45	415	85	410	20	0	10
2	2770	320	540	45	30	105	35	1205	435	10	40
3	250	40	55	45	10	10	20	75	0	0	0
4	3385	305	540	235	30	110	25	1130	585	0	425
5	5830	470	1170	755	40	120	65	740	1140	10	1310
6	1695	250	185	45	55	115	30	850	110	10	40
7	880	65	110	0	25	265	30	340	25	0	10
8	440	70	45	20	25	120	15	130	20	0	0
9	2495	250	635	200	30	55	10	360	545	20	385
10	2045	85	265	140	0	20	15	475	465	145	420
11	2225	190	210	90	70	155	25	500	570	25	385
12	2535	90	280	20	800	510	20	350	120	15	330
13	1470	140	215	15	20	205	10	720	105	30	20
14	4765	460	1050	155	150	175	45	1770	680	20	255
15	1155	95	260	25	215	135	75	285	30	0	35
16	970	95	110	10	160	85	25	275	110	15	85
17	3560	520	350	60	60	75	60	1905	430	0	100
18	8280	150	605	225	1450	120	40	745	1255	10	3690
19	1950	155	300	35	195	115	35	475	300	15	315
20	6140	495	745	360	155	250	45	1345	1105	0	1630
21	770	60	150	0	105	140	25	220	45	0	20
22	1270	150	240	120	45	55	55	240	220	0	135
23	1235	180	145	30	60	120	35	535	120	10	0
24	805	35	110	25	100	15	15	135	165	0	215
25	740	70	135	0	45	65	0	220	185	0	0
26	1220	135	340	215	0	40	10	120	230	0	130
27	1995	305	285	10	40	125	10	1070	90	20	25
28	650	60	80	10	0	160	15	210	85	0	25
29	690	25	110	10	10	50	20	235	100	0	130
30	3695	275	375	190	90	160	20	560	875	10	1140
31	755	115	100	15	70	130	25	250	35	0	0
32	2630	215	580	100	470	155	55	405	335	20	305
33	1240	110	190	70	200	195	30	250	150	0	25
34	475	30	75	0	0	10	0	205	120	0	25
35	1200	95	110	50	10	295	40	520	70	0	15
36	3300	195	770	195	30	1320	100	620	35	15	10
37	455	35	55	0	20	55	25	185	65	0	10
38	415	30	65	25	15	65	85	105	0	0	10
39	5810	555	1495	215	235	765	205	1515	355	15	455
40	4070	265	705	125	1340	295	80	980	175	0	105
41	515	50	55	0	40	10	10	260	75	0	15
42	8660	405	1775	245	100	645	130	4990	260	75	40
43	1185	110	220	90	15	355	55	315	15	0	0
44	830	80	35	20	10	190	30	345	80	0	30
45	895	105	130	110	25	0	10	145	225	0	150
46	3260	90	195	150	55	70	15	240	900	0	1545
47	1065	85	140	35	140	35	10	385	170	40	25
48	800	65	165	10	35	210	35	255	15	0	10
49	1055	105	210	50	80	100	10	340	110	0	40
50	415	40	40	15	25	160	10	105	0	0	20
51	350	55	85	10	0	10	10	145	30	0	10
52	300	45	80	10	0	20	20	70	25	25	0
53	555	25	55	20	10	120	15	235	65	0	0
54	605	95	25	10	20	85	50	300	30	0	0
55	2355	210	365	95	105	80	50	810	425	10	210
56	1000	85	75	30	45	245	45	235	80	140	15
57	10660	930	1185	930	210	130	65	1200	3340	245	2430
58	1485	135	215	50	25	215	25	515	130	0	165
59	925	95	110	15	65	100	10	455	25	30	10
60	1515	150	215	20	160	150	35	630	110	20	15
61	860	90	105	15	35	145	35	255	115	10	40
62	6170	360	770	330	30	80	35	735	1095	10	2725
63	665	50	60	15	15	40	15	150	130	165	20
64	650	80	140	25	30	50	20	95	110	100	10
65	1060	90	185	20	65	180	20	425	40	20	10
66	1060	70	140	25	20	95	15	215	240	155	75
67	1110	140	160	20	0	50	20	180	270	150	115
68	400	30	50	0	15	75	10	70	45	80	25
69	1030	45	85	20	0	45	0	270	230	10	325
70	1995	200	290	35	220	185	50	805	135	20	45
