1	1375	110	240	45	45	415	85	410	20	0	10
2	2770	320	540	45	30	105	35	1205	435	10	40
3	250	40	55	45	10	10	20	75	0	0	0
4	3385	305	540	235	30	110	25	1130	585	0	425
5	5830	470	1170	755	40	120	65	740	1140	10	1310
6	1695	250	185	45	55	115	30	850	110	10	40
7	880	65	110	0	25	265	30	340	25	0	10
8	440	70	45	20	25	120	15	130	20	0	0
9	2495	250	635	200	30	55	10	360	545	20	385
10	2045	85	265	140	0	20	15	475	465	145	420
11	2225	190	210	90	70	155	25	500	570	25	385
12	2535	90	280	20	800	510	20	350	120	15	330
13	1470	140	215	15	20	205	10	720	105	30	20
14	4765	460	1050	155	150	175	45	1770	680	20	255
15	1155	95	260	25	215	135	75	285	30	0	35
16	970	95	110	10	160	85	25	275	110	15	85
17	3560	520	350	60	60	75	60	1905	430	0	100
18	8280	150	605	225	1450	120	40	745	1255	10	3690
19	1950	155	300	35	195	115	35	475	300	15	315
20	6140	495	745	360	155	250	45	1345	1105	0	1630
